"Y" "X1" "X2" "X3" "X4" "X5"
5.5 11.08 18.6 387 326 405
5.3 11.77 17.3 196 164 165
2.7 8.34 8.1 107 82 54
2.3 7.95 4.6 163 128 93
7.6 11.41 16.6 535 330 273
4.8 9.36 18.3 165 127 158
3.9 8.28 12 546 413 436
3.7 8.58 7.4 304 248 218
7.8 12.07 52.4 157 115 76
4.4 11.65 18.6 248 217 189
6.2 10.15 16.4 568 452 371
7.7 12.78 46 322 252 349
4.5 9.44 10.9 297 230 263
4.3 10.39 14 353 223 200
3.5 8.03 24.3 97 65 55
5.8 9.5 42 98 68 46
4.1 7.13 9 279 207 241
4.9 10.23 9.9 752 595 446
1.6 8.82 3.8 80 51 52
5.5 8.37 15.1 115 96 88
4.7 10.72 23.2 113 90 107
5.7 11.18 18.8 595 546 392
4.3 9.42 24.8 508 421 528
4.5 9.61 6.9 487 404 220
3.7 7.14 2.6 70 37 35
4.6 7.84 7.1 60 50 45
5.5 10.9 10.6 593 446 211
3.1 8.63 8.4 76 39 44
1.7 8.09 7.6 92 61 61
4.3 9.23 11.6 620 413 420
3.7 8.48 12.1 166 145 118
4.2 7.39 14.6 72 38 67
4.9 11.07 28.5 768 591 656
4 9.2 17.5 298 244 236
2.5 8.54 27 98 57 75
2.9 8.9 12.7 52 37 35
1.4 7.14 4.1 115 90 19
4.8 9.84 12 600 468 497
2.9 7.91 11.9 477 349 188
3.7 7.58 20.8 97 59 79
4.1 9.05 20.5 195 127 112
2.9 10.8 1.6 130 69 62
6.4 11.62 25.5 133 113 101
6.3 8.84 29.6 85 59 66
5 11.03 19.7 318 270 335
5.7 11.2 34.5 180 134 151
4.4 10.02 8.3 265 191 202
5.9 17.94 26.4 835 791 407
1.3 8.92 2.2 56 40 14
6.6 13.95 15.6 356 308 182
2.1 8.02 3.8 91 44 32
3 11.2 7 130 95 56
5.5 7.63 11.6 197 109 110
5.2 9.53 15 298 241 193
4.1 10.47 5.7 196 168 153
5 7.78 20.9 489 391 329
3.4 8.45 12.9 235 143 124
5.4 7.93 7.5 68 42 49
6.3 9.74 11.4 221 170 172
3.9 10.73 19.3 445 374 345
4.2 8.88 10.1 305 238 197
5 10.33 21.2 266 181 149
4.2 7.53 23.1 95 47 49
2.9 8.86 9.5 100 65 53
3.2 8.19 10.8 176 156 88
5.4 11.18 60.5 640 399 360
